map_file,symbol,address_hex,annotation
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,AddPrim,0x80012AE8,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,AddPrims,0x80012B24,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,CatPrim,0x80012B60,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ChangeClearPAD,0x8001613C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ChangeClearRCnt,0x8001614C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,CheckCallback,0x800111A4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ClearImage,0x800137EC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ClearImage2,0x80013880,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ClearOTag,0x80013AA8,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ClearOTagR,0x80013B60,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DMACallback,0x800110B0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DrawOTag,0x80013C58,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DrawOTagEnv,0x80013D90,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DrawPrim,0x80013BF8,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DrawSync,0x80013658,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DrawSyncCallback,0x80013560,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DumpClut,0x80012A70,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DumpDispEnv,0x8001310C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DumpDrawEnv,0x80012F8C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,DumpTPage,0x800129A0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,EnterCriticalSection,0x8001611C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,ExitCriticalSection,0x8001612C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,FlushCache,0x800162D4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,FntFlush,0x800121BC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,FntLoad,0x80011E60,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,FntOpen,0x80011F04,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,FntPrint,0x800124E0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,Font,0x800173F4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GPU_cw,0x8001609C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GPU_printf,0x80017FD0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetClut,0x80012988,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetDispEnv,0x80014354,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetDrawEnv,0x80013E6C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetGraphDebug,0x80013550,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetGraphType,0x80013540,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetIntrMask,0x800111B4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetODE,0x8001438C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetTPage,0x800128C0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,GetVideoMode,0x80011E10,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,Hcount,0x800162FC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,HookEntryInt,0x8001610C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,InitHeap,0x8001608C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,InitPAD,0x800161C4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,InitPAD2,0x80016254,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,InterruptCallback,0x80011080,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,IsEndPrim,0x80012ACC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,LoadClut,0x80011C1C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,LoadClut2,0x80011C84,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,LoadImage,0x8001391C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,LoadTPage,0x80011B30,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,MargePrim,0x80012F54,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,MoveImage,0x800139E4,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,NextPrim,0x80012AB0,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PAD_dr,0x800160DC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PAD_init,0x8001615C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PAD_init2,0x80016274,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PadIdentifier,0x8001C670,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PadInit,0x80010DCC,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PadRead,0x80010E1C,
assets/PSYQ_SDK/psyq/addons/cmplr/SCRATCH/MAIN.MAP,PadStop,0x80010E4C,
